Source,picture,Catalog#,Lizard_ID,Species,Sex,Status,Collection_Date,collector,Locality,Collection_Notes,Dissection_Notes,Country,Latitude,Longitude,State,elevation,County,spatial_accuracy,Study,georef_verif,SVL,insert_elbow,Tail,elbow_wrist,Tail Diam,wrist_3rd,HL,trunk,HW,Tail Circum,HL_ear_rostral,Mass_grams
ASU,ASU27840.JPG,27840,ASU27840,suspectum,M,,7/27/1991,R.J. TIMMONS,"HWY 86, 4.5 MI E. OF JCT WITH HWY 286","MALE, DOR ~2100HRS/APPROX 2 HRS AFTER LOCAL HEAVY DOWN POUR",hemipenes everted,USA,32.1122406,-111.2242126,Arizona,750,Pima,5,,Yes,301,19.8,137,27.4,24.9,33.6,52.4,180,50.8,,57.8,
ASU,ASU30593.JPG,30593,ASU30593,suspectum,M,,7/19/1996,J.L. VIAL,".5 MI E. JCT NACO RD (OLD BISBEE) AND SH 80, BISBEE","DOR, SEE NOTES AND PICTURES",,USA,31.4324714,-109.847145,Arizona,1452,Cochise,10,,Yes,145,9.9,65,12.7,11.7,15.1,28.1,85,20.5,,29.1,
ASU,ASU30880.JPG,30880,ASU30880,suspectum,F,,\1994,D. ROCKAFELLER,CRIMSON RD. BETWEEN MCKELLIPS AND BROWN RDS,DEAD ON ROAD,empty oviducts,USA,33.4426148,-111.8226242,Arizona,381,Maricopa,10,,Yes,254,14.6,108,18,18.2,26.4,41,150,38.1,,47,
ASU,ASU33229.JPG,33229,ASU33229,suspectum,M,,7/2/2001,,Fountain HILLS: INTERSECTION PALISADES & SUN RIDGE,DOR 2300 HRS,mammal hair and eggs in stomach (squamate),USA,33.6019667,-111.7568778,Arizona,628,Maricopa,1,,Yes,205,13.4,100,15.4,17.4,22.7,36.1,113,30.9,,41.5,
ASU,ASU33230.JPG,33230,ASU33230,suspectum,F,,8/19/2001,,"Fountain HILLS: MCDOWELL MTN RD, 1 MI N CELENBROOK RD",DOR 2300 HRS,oviducts visible but mangled,USA,33.6393471,-111.7002296,Arizona,469,Maricopa,5,,Yes,148,10.9,80,12.1,12.8,18,31.4,81,25.8,,33.6,
BYU,BYU 34503.JPG,34503,BYU34503,horridum,M,,8/5/1979,Ottley and Stockton,vicinity of Alamos,,"great measurements, HW no good, Lteste=14.3, Rteste=16.7",Mexico,27.0267124,-108.9400005,Sonora,382,,5,,Yes,359,25.1,163,33.3,26.7,39.6,61.5,210,0,,68.4,
BYU,BYU 34504.JPG,34504,BYU34504,horridum,F,,8/5/1979,Ottley and Stockton,vicinity of Alamos,This is the specimen reported in Ottley 1981 Herp. Review 12(2):64.,all great measurements! Both oviducts with bb size eggs,Mexico,27.0267124,-108.9400005,Sonora,382,,5,,Yes,346,23.8,247,29.8,26.1,40.5,58.9,194,51,,63,
BYU,BYU 34505.JPG,34505,BYU34505,horridum,M,,8/5/1979,Ottley and Stockton,vicinity of Alamos,,hemipenis everted,Mexico,27.0267124,-108.9400005,Sonora,382,,5,,Yes,389,24.7,315,31.9,31.2,50.5,63.9,209,54.2,,69.7,
BYU,BYU 41711.JPG,41711,BYU41711,suspectum,F,,9/3/1970,"Ellis, D. H.","1.5mi N. Arivaca Rd. along Browley Wash, ca 45mi SW of Tucson","(CMG: Brawley Wash becomes Alatar and then Puertocito Washes, North to South)",visable oviducts,USA,31.6682849,-111.4638519,Arizona,1023,Pima,5,,Yes,290,17.6,143,20.7,24.8,28,53.2,151,43.6,,52.7,
BYU,BYU 42250.JPG,42250,BYU42250,suspectum,F,,7/1/1974,"Ottley, J.R. and Luzania, L.",Estacion Ortiz,,oviducts,Mexico,28.289517,-110.711199,Sonora,109,,1,,Yes,260,17.3,126,19.3,18,25.3,49.9,152,37.7,,51.6,
BYU,BYU 42251.JPG,42251,BYU42251,suspectum,M,,7/1/1974,"Ottley, J.R. and Luzania, L.",Estacion Ortiz,,reduced testes,Mexico,28.289517,-110.711199,Sonora,109,,1,,Yes,252,15.6,0,18.9,16.8,30.5,49.4,145,36.2,,51.6,
BYU,BYU 42252.JPG,42252,BYU42252,suspectum,F,,7/1/1974,"Ottley, J.R. and Luzania, L.",Estacion Ortiz,,oviducts,Mexico,28.289517,-110.711199,Sonora,109,,1,,Yes,288,15,141,16.4,18.3,26.4,50.4,170,41.4,,51.9,
BYU,,43482,BYU43482,suspectum,M,,7/1/1965,,St. George,,"really emaciated, Lteste=10.7, Rteste=14.2",USA,37.0809278,-113.5845565,Utah,780,Washington,15,,Yes,340,19.4,170,29.3,22.3,38.4,57.9,189,47,,61.4,
BYU,BYU 41132.JPG,41132,BYU41132,suspectum,M,,4/25/1974,"Ottley, J.R. and Luzania, L.",Estacion Ortiz,,visable testes,Mexico,28.289517,-110.711199,Sonora,109,,1,,Yes,219,15.1,109,16.7,19.3,22.2,45.9,125,36.2,,45.4,
BYU,BYU 41213-C.JPG,41213,BYU41213,suspectum,F,,7/1/1974,"Ottley, J.R. and Luzania, L.",Estacion Ortiz,,empty oviducts,Mexico,28.289517,-110.711199,Sonora,109,,1,,Yes,289,17.3,137,19.4,19,29.8,49.7,173,40.8,,52.6,
BYU,BYU 41214.JPG,41214,BYU41214,suspectum,F,,7/1/1974,"Ottley, J.R. and Luzania, L.",Estacion Ortiz,,oviducts visable,Mexico,28.289517,-110.711199,Sonora,109,,1,,Yes,287,19.9,0,21.6,0,28.5,49.8,168,42.1,,54.4,
BYU,BYU 41215.JPG,41215,BYU41215,suspectum,F,,7/1/1974,"Ottley, J.R. and Luzania, L.",Estacion Ortiz,,5 bb size eggs in left oviduct,Mexico,28.289517,-110.711199,Sonora,109,,1,,Yes,234,19.4,0,21.3,0,26.1,46.4,146,39.8,,49.2,
BYU,BYU 41216.JPG,41216,BYU41216,suspectum,F,,7/1/1974,"Ottley, J.R. and Luzania, L.",Estacion Ortiz,,"very gravid, eggs=30.4, 35.2, 35.2, 30.2, 34.4",Mexico,28.289517,-110.711199,Sonora,109,,1,,Yes,313,20.8,148,24.3,25.6,28.7,55.5,190,44.7,,59.5,
BYU,BYU 41432.JPG,41432,BYU41432,suspectum,Unk,,10/1/1974,"Ottley, J.R. and Luzania, L.",Estacion Ortiz,,guts removed,Mexico,28.289517,-110.711199,Sonora,109,,1,,Yes,290,19.7,145,23.2,25.3,29.8,51.4,162,42.9,,55.6,
BYU,BYU 41433.JPG,41433,BYU41433,suspectum,Unk,,10/1/1974,"Ottley, J.R. and Luzania, L.",Estacion Ortiz,,guts removed,Mexico,28.289517,-110.711199,Sonora,109,,1,,Yes,290,17.4,145,18.6,22.6,28.5,54.2,184,46.3,,52.3,
BYU,BYU 41435-A.JPG,41435,BYU41435,suspectum,M,,10/1/1974,"Ottley, J.R. and Luzania, L.",Estacion Ortiz,,,Mexico,28.289517,-110.711199,Sonora,109,,1,,Yes,295,21.6,142,25,28.1,31.2,55,175,48,,58.6,
BYU,BYU 41436.JPG,41436,BYU41436,suspectum,M,,10/1/1974,"Ottley, J.R. and Luzania, L.",Estacion Ortiz,,"oviducts visable, good trunk measurement",Mexico,28.289517,-110.711199,Sonora,109,,1,,Yes,282,23.1,142,25.5,28.9,29.2,51.1,154,46.4,,56.4,
BYU,BYU 41437.JPG,41437,BYU41437,suspectum,F,,10/1/1974,"Ottley, J.R. and Luzania, L.",Estacion Ortiz,,"oviducts visable, bb size eggs",Mexico,28.289517,-110.711199,Sonora,109,,1,,Yes,289,19.1,132,21.2,29,29.5,48.9,170,43.6,,54.4,
BYU,BYU 41439.JPG,41439,BYU41439,suspectum,F,,10/1/1974,"Ottley, J.R. and Luzania, L.",Estacion Ortiz,,oviducts (only 3 eggs),Mexico,28.289517,-110.711199,Sonora,109,,1,,Yes,291,17,132,20.3,21.6,27.7,49.6,176,41.5,,56.7,
BYU,BYU 41440.JPG,41440,BYU41440,suspectum,M,,10/1/1974,"Ottley, J.R. and Luzania, L.",Estacion Ortiz,,"Lteste=13.3, Rteste=13.5",Mexico,28.289517,-110.711199,Sonora,109,,1,,Yes,236,16.9,119,19.6,23.9,26.4,45.2,137,38.4,,49.3,
BYU,BYU 42342.JPG,42342,BYU42342,suspectum,M,,Unknown,Hogle Zoo,"St. George, near",probably a zoo captive for years; fat and very big,"Lteste=15.6, Rteste=15.7",USA,37.0809278,-113.5845565,Utah,780,Washington,15,,Yes,350,23.5,194,29.6,37.7,39.1,63.2,199,56.9,,67.9,
BYU,,42359,BYU42359,suspectum,F,,6/1/1979,"Hubbs, B. and Loveless, E.",Edge of Oatman,,No reprod. Activity (oviducts reduced),USA,35.026288,-114.382657,Arizona,831,Mohave,1,,Yes,121,8.1,60,8.9,10.6,15.4,25.9,66,20.6,,27.1,
BYU,BYU 36396.JPG,36396,BYU36396,suspectum,F,,Spring 1966,"Allen, R.V.",Old Tucson,,,USA,32.230954,-110.951786,Arizona,751,Pima,15,,Yes,250,19.8,123,20.9,23.8,25.4,47.6,148,38.6,,48.8,
BYU,BYU 10404.JPG,10404,BYU10404,suspectum,M,,6/1/1925,Vasco M. Something,St. George,,reduced testes,USA,37.0809278,-113.5845565,Utah,780,Washington,15,,Yes,314,24.8,164,29.1,27,37.9,59.6,185,50.5,,60.1,
BYU,,37043,BYU37043,suspectum,M,,6/7/1981,"Ottley, Jacobsen, and Bennion",36.1mi (by Hwy 93) N. Wikieup; 0045hrs; DOR,,"Lteste=4.0, Rteste=4.0, I opened",USA,35.157828,-113.694639,Arizona,1118,Mohave,5,,Yes,120,10.9,53,11.9,10.5,16.1,25.7,75,19.7,,27.8,
UIMNH,,73964,UIMNH73964,horridum,Male,,[1955],"R. Abbuhl, G. Gates, and A. Maas",90 mi N Culiacán,F. A. Shannon Collection,Testes = 11.32 / 9.77,Mexico,25.6043791,-108.5256958,Sinaloa,,,20,,Yes,234,15.5,176,21.2,16.1,28.1,40.8,115,36,,46.7,
UIMNH,,73965,UIMNH73965,horridum,Unknown,,30-Jul-61,F. A. Shannon and F. L. Humphrey,63 mi N Mazatlan,F. A. Shannon Collection,"Guts/organs liquified, cannot sex",Mexico,24.0188706,-106.776123,Sinaloa,,,10,,Yes,271,32.7,250,26.3,19.3,35.6,49.9,166,49.1,,56.3,
UIMNH,,73966,UIMNH73966,horridum,Female,,30-Jul-61,F. A. Shannon and F. L. Humphrey,28.4 mi S Espinal,F. A. Shannon Collection,R.ovid = 7 bb sized eggs + 5 eggs ~ 12.1mm / L.ovid = 8 bb sized eggs + 2 ~ 12.3mm,Mexico,23.323341,-106.3902282,Sinaloa,,,10,,Yes,320,23.7,250,32.8,27.2,38.3,55.4,156,51.5,,64.7,
UIMNH,,40353,UIMNH40353,horridum,Male,,16-Jul-56,"W. H. Davis, W. Z. Lidicker, J. R. Winklemann",9 mi N Mazatlan,,Hemipene everted / Testes = 23.4 / 26.72,Mexico,23.3838587,-106.4135742,Sinaloa,,,10,,Yes,329,24.92,272,35.3,29.1,40.5,66.6,158,54.1,,62.9,
UIMNH,,34932,UIMNH34932,horridum,Unknown,,1951,"Dyfrig, McHenry, Forbes","Costa Rica, 16 mi S Culiácan",,No organs (Removed),Mexico,24.5902122,-107.391014,Sinaloa,,,1,,Yes,319,22.9,256,34,29.7,34,54.8,200,50.9,,62.6,
UIMNH,,73968,UIMNH73968,suspectum,Female,,Spring1955,,vicinity of Wickenburg,F. A. Shannon Collection,No eggs in oviducts,USA,33.9637219,-112.7554321,Arizona,669,Maricopa,5,,Yes,332,22.1,175,26.6,29.2,32,52.2,202,47.1,,58.6,
UIMNH,,73969,UIMNH73969,suspectum,Female,,Spring1955,,vicinity of Wickenburg,F. A. Shannon Collection,R.ovid = 5 bb sized eggs / L.ovid = 6 smaller than bb sized eggs,USA,33.9637219,-112.7554321,Arizona,669,Maricopa,5,,Yes,219,9.96,120,18.87,15.6,29.54,39.8,115,36,,42.3,
UIMNH,,73970,UIMNH73970,suspectum,Male,,Spring1950,,Near Wickenburg,F. A. Shannon Collection,Hemipene everted / Testes = 11.7 / 3.8,USA,33.9637219,-112.7554321,Arizona,669,Maricopa,5,,Yes,291,19.5,143,30.6,26.3,35.4,52.8,160,47.2,,56.8,
UIMNH,,73971,UIMNH73971,suspectum,Female,,May-50,H. S. Students,Near Wickenburg,F. A. Shannon Collection,Oviducts enlarged but no eggs,USA,33.9637219,-112.7554321,Arizona,669,Maricopa,5,,Yes,322,18.7,145,29.7,22.2,33.8,52,195,45.2,,54.6,
UIMNH,,73972,UIMNH73972,suspectum,Male,,Jun-50,Phil Corwin,Near Wickenburg,F. A. Shannon Collection,Testes = 10.26 / 7.76,USA,33.9637219,-112.7554321,Arizona,669,Maricopa,5,,Yes,280,,140,,22.3,,51.2,160,48.2,,57.1,
UIMNH,,73973,UIMNH73973,suspectum,Male,,May-51,Mae Flynn,0.5 mi W Wickenburg,F. A. Shannon Collection,Testes = 4.83 / 6.05,USA,33.9637219,-112.7554321,Arizona,669,Maricopa,5,,Yes,121,6.5,54,12.14,6.6,15.72,25.5,71,19,,24.3,
UIMNH,,73974,UIMNH73974,suspectum,Male,,5-Jun-50,Camp,1 mi W Wickenburg,F. A. Shannon Collection,Testes = 8.67 / 6.48 / Tail and Arm damaged,USA,33.9625829,-112.7832412,Arizona,695,Maricopa,5,,Yes,279,,110,,22.5,,47.1,171,43.4,,56.1,
UIMNH,,73975,UIMNH73975,suspectum,Male,,12-Jun-50,John Mansfield,2 mi W Wickenburg5,F. A. Shannon Collection,Testes = 8.82 / 5.94,USA,33.9642914,-112.8029823,Arizona,722,Maricopa,5,,Yes,251,14.94,132,20.05,16.12,29.28,43.2,146,36.4,,49.4,
UIMNH,,73976,UIMNH73976,suspectum,Unknown,,29-Sep-53,Beers,2 mi W Wickenburg,F. A. Shannon Collection,Sex organs not obvious,USA,33.9642914,-112.8029823,Arizona,722,Maricopa,5,,Yes,309,19.5,166,23.6,31.7,34.6,52.2,172,55.7,,62.6,
UIMNH,,73977,UIMNH73977,suspectum,Female,,19-Apr-50,Herbert Saxton,"5 mi SW Wickenburg, Vulture mine Rd",F. A. Shannon Collection,R.ovid = No Eggs / L.ovid = No Eggs,USA,33.9185772,-112.7976608,Arizona,779,Maricopa,5,,Yes,300,20.9,131,30.2,18.3,35.7,48.1,179,42.5,,53.1,
UIMNH,,73978,UIMNH73978,suspectum,Male,,30-Jul-50,Jack Lueth,"12 mi SW Wickenburg, Vulture mine Rd",F. A. Shannon Collection,Whole prey in stomach / Testes = 9.88 / 12.24,USA,33.8458967,-112.8251266,Arizona,687,Maricopa,10,,Yes,310,19.9,148,26.7,31.2,35.3,50.4,192,45.9,,60.6,
